0.0119,0.3783,12.3893,13.1274,0.0117,0.3497,12.1132,12.5341,
0.009,0.3981,12.5384,13.1182,0.0075,0.3828,11.8513,12.9711,
0.0081,0.3707,12.7599,12.9627,0.0076,0.3989,12.2211,12.9317,
0.0089,0.3645,12.6645,13.1108,0.0072,0.3892,12.3359,12.6967,
0.0076,0.3906,12.6964,12.8581,0.0073,0.3631,12.246,13.009,
0.0075,0.3566,12.6721,14.3223,0.0071,0.4798,12.3215,12.7666,
0.0086,0.3653,12.3648,13.1031,0.0073,0.397,12.244,12.9827,
0.0083,0.3668,12.6516,12.9342,0.0075,0.3668,12.4493,12.702,
0.0077,0.3731,12.3654,12.9998,0.0076,0.3586,12.201,12.655,
0.0072,0.3606,12.1865,12.71,0.0069,0.3928,12.1152,12.8353,
0.0072,0.3673,13.4535,13.9316,0.0069,0.3409,11.4347,11.7346,
0.0073,0.3601,13.1381,13.4355,0.0066,0.3399,11.8936,12.0069,
0.0091,0.3979,12.4904,12.6603,0.0077,0.3756,12.1258,12.6133,
0.0073,0.3673,12.6752,13.3444,0.0093,0.4528,11.5752,14.7737,
0.0075,0.3556,12.2376,13.4023,0.007,0.3667,12.2636,12.6092,
0.007,0.354,12.3411,12.6705,0.0081,0.3726,12.2596,12.5943,
0.0085,0.3589,12.5323,11.8724,0.0079,0.3421,12.4447,13.1819,
0.0074,0.3467,12.745,12.8766,0.0066,0.359,11.4355,13.4405,
0.0071,0.3582,12.241,12.6032,0.0071,0.3405,12.1481,12.609,
0.0072,0.3568,12.2853,12.8108,0.0071,0.363,12.3543,12.7427,
0.0074,0.4758,12.5756,12.8425,0.0068,0.3412,11.4746,12.3696,
0.0072,0.3508,12.4367,12.4062,0.0069,0.3442,11.3553,11.877,
0.0072,0.3602,12.3262,12.755,0.0068,0.3372,11.3593,11.8622,
0.0072,0.3601,11.9708,13.1417,0.0068,0.3427,11.5172,12.0353,
0.0071,0.3693,12.3267,12.8339,0.0068,0.3318,11.5265,12.0795,
0.0074,0.3842,12.0246,12.8312,0.0067,0.3313,11.4911,11.8095,
0.0068,0.3326,13.2346,14.5006,0.0065,0.3343,14.0517,11.9606,
0.0079,0.3693,12.2085,12.9557,0.0066,0.3302,13.9008,12.5363,
0.0078,0.4251,12.7858,12.7493,0.0073,0.3585,12.0104,12.887,
0.0076,0.3581,12.376,12.9846,0.0072,0.353,12.3127,12.7062,
